id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Handbag
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,Jealous 21 Women Black Jegging
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,John Miller Men Dark Grey Trousers
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Elle Women Dark Pink Top
27879,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Scullers For Her Women Blue Top
43500,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,French Connection Men White T-shirt
2627,Women,Footwear,Shoes,Flats,Silver,Fall,2010.0,Casual,Carlton London Women Wedge Silver Sandal
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012.0,Ethnic,Mother Earth Women Printed Cream Kurta
46278,Women,Apparel,Topwear,Tunics,Red,Summer,2012.0,Casual,109F Women Red & White Striped Tunic
36933,Women,Personal Care,Fragrance,Perfume and Body Mist,Purple,Spring,2017.0,Casual,Bulgari Women Omnia Perfume
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans
42846,Women,Accessories,Bags,Handbags,Multi,Summer,2012.0,Casual,French Connection Women Multi Stripe Hand Bag
43735,Women,Accessories,Jewellery,Bangle,Gold,Summer,2012.0,Ethnic,Royal Diadem Set of 2 Golden Bangles
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Dresses
23624,Girls,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,Doodle Kids Girls White I love Shopping Top
31785,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2012.0,Casual,Lee Women Katie Navy Blue Top
11971,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Fila Men Glow White Sports Shoes
7169,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Navy Blue Shirt
48320,Women,Accessories,Jewellery,Bracelet,Silver,Winter,2012.0,Casual,Pitaraa Silver Omelette Thin Bracelet
9651,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Indigo Nation Men Checks Green Shirts
59636,Women,Apparel,Saree,Sarees,Sea Green,Fall,2012.0,Ethnic,FNF Sea Green Collection For Wedding Sari
49837,Women,Footwear,Flip Flops,Flip Flops,Blue,Winter,2012.0,Casual,iPanema Women Blue Flip Flops
5265,Unisex,Accessories,Bags,Messenger Bag,Black,Winter,2015.0,Casual,Wildcraft Unisex Black & Red Messenger Bag
34007,Girls,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Gini and Jony Girls Pink Top
47501,Unisex,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,Footfun Kids Unisex Red Shoes
30037,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,SKAGEN DENMARK Men Silver-Toned Dial Watch 233LSS
20893,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Basics Men Black Casual Shoes
57109,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,Elle Women Blue Tunic
12199,Men,Apparel,Topwear,Tshirts,Blue,Summer,2015.0,Casual,Basics Men Blue Polo T-shirt
52823,Women,Accessories,Jewellery,Earrings,Green,Summer,2012.0,Casual,Adrika Green Earrings
29780,Men,Apparel,Bottomwear,Trousers,Black,Summer,2013.0,Casual,Basics Men Black Trousers
48585,Women,Accessories,Jewellery,Bracelet,Silver,Summer,2013.0,Casual,Lucera Women Silver Bracelet
32767,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,John Miller Men Striped White Shirt
12704,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Nike Men Air Relentness Grey Sports Shoes
5050,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Fila Men's Passion Black red Canvas Shoe
44377,Men,Personal Care,Fragrance,Deodorant,Grey,Spring,2017.0,Casual,Jovan Men White Musk Deo
55037,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Lakme Absolute Matte Bitter Chocolate Lipstick 53
19318,Unisex,Accessories,Bags,Backpacks,Blue,Fall,2011.0,Casual,Nike Unisex Classic Base Blue Backpack
14037,Men,Apparel,Topwear,Shirts,Blue,Winter,2016.0,Casual,Flying Machine Men Check Blue Shirts
59457,Women,Accessories,Jewellery,Ring,Silver,Summer,2015.0,Casual,Lucera Silver Ring
55438,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Revlon Mauve Colorburst Lipstick 005
20205,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Wrangler Men Flock Print Grey Sweatshirt
36360,Men,Accessories,Ties,Ties,Gold,Summer,2012.0,Formal,Reid & Taylor Men Gold Tie
34053,Boys,Apparel,Bottomwear,Capris,Yellow,Summer,2012.0,Casual,Gini and Jony Boys Yellow 3/4 Length Pants
11126,Women,Apparel,Bottomwear,Track Pants,Blue,Fall,2011.0,Sports,Urban Yoga Women Solid Blue Track Pants
37074,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Lino Perros Women Black Handbag
12101,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,W Women Printed Pink Kurtas
5493,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Mr.Men Men's Cool Soft Grey T-shirt
40119,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Casual,ADIDAS Women Orange T-shirt
59662,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Colour Evening Wear Sari
7134,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Casual,Urban Yoga Men Bottom Navy Yoga Pants
20001,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,United Colors of Benetton Men Printed Green T-shirt
2674,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Inkfruit Men's State Trance Black T-shirt
29944,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Watch PL13088JS-02
45234,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Youth Series Men Analog-Digital Watch AW-80-1AVDFAD84
28061,Men,Apparel,Innerwear,Briefs,Grey Melange,Winter,2016.0,Casual,Jockey ELANCE Men Pack Of Two Grey Briefs 1010
57508,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lee Cooper Men Brown Sandals
24832,Unisex,Accessories,Bags,Backpacks,Blue,Winter,2015.0,Casual,Wildcraft Unisex Blue & Black Backpack
59654,Women,Apparel,Saree,Sarees,Purple,Fall,2012.0,Ethnic,FNF Purple Evening Wear Sari
45001,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Maxima Men Black Digital Watch
26553,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012.0,Casual,ID Men Blue Shoes
2687,Women,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Inkfruit Women's Love Wood Orange T-shirt
23677,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Red Tape Men Cross Band Brown Sandals
36507,Women,Accessories,Bags,Handbags,Grey,Summer,2012.0,Casual,United Colors of Benetton Women Grey Bag
27475,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Jockey Women White Essence Bra 2001
32508,Men,Footwear,Sandal,Sandals,Brown,Winter,2015.0,Casual,Franco Leone Men Brown Sandals
59237,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Titan Men Black Dial Watch
21188,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011.0,Casual,ADIDAS Men Adi Stars Tread Black Flip Flops
57108,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Elle Women White Top
3399,Women,Accessories,Bags,Handbags,Yellow,Winter,2015.0,Casual,Murcia Women Yellow Handbag
16960,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Image Men Classic Eyewear Black Sunglasses
45861,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Vishudh Women Maroon Kurta
10409,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,United Colors of Benetton Men Green Polo Tshirts
48789,Women,Accessories,Jewellery,Pendant,Silver,Summer,2015.0,Casual,Lucera Women Silver Pendant
41260,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,Arrow Men Brown Wallet
46879,Men,Accessories,Socks,Socks,Green,Summer,2012.0,Casual,Lino Perros Men Pack of 2 Socks
34465,Unisex,Accessories,Bags,Backpacks,Black,Summer,2010.0,Casual,ADIDAS Unisex Black BP Tone Backpack
13849,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Indigo Nation Men Check White Shirts
32766,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,John Miller Men Striped White Shirt
26968,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Jealous 21 Women Check Purple Top
3352,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Myntra Men's I Am Not Lazy Yellow T-shirt
26530,Men,Footwear,Shoes,Casual Shoes,Purple,Spring,2013.0,Casual,Gas Men Aishley Greyish Purple Casual Shoes
56029,Women,Personal Care,Lips,Lipstick,Maroon,Spring,2017.0,Casual,Colorbar Soft Touch Coral Crush Lipstick 022
39184,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,Aneri Women Multi Coloured Kurta
49697,Men,Accessories,Ties,Ties,Red,Summer,2012.0,Casual,Park Avenue Men Red Tie
2628,Women,Footwear,Shoes,Flats,Gold,Fall,2010.0,Casual,Carlton London Women Four Strapped Gold Sandal
56640,Women,Apparel,Topwear,Tunics,Blue,Summer,2012.0,Casual,Mumbai Slang Women Multi Coloured Tunic
21376,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Manchester United Men Printed Green T-shirt
53590,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Women White Dial Watch
14065,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Men Stripes White Polo Tshirts
43154,Women,Accessories,Watches,Watches,Purple,Winter,2016.0,Casual,Fastrack Women Purple Dial Watch
48125,Women,Accessories,Belts,Belts,Multi,Summer,2012.0,Casual,Fossil Women Multi Coloured Ombre Braid Belt
6275,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,UCB Women's Crystal Benetton Pink T-shirt
47536,Women,Footwear,Shoes,Flats,Black,Winter,2012.0,Casual,Portia Women Black Flats
56444,Women,Personal Care,Nails,Nail Polish,Red,Spring,2017.0,Casual,Streetwear Shine Divine Cherry Divine Nail Enamel 16
42276,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Vans Men Navy Blue Michoacan Shoes
23241,Women,Apparel,Topwear,Kurtis,Blue,Fall,2011.0,Ethnic,Aneri Women Juhi Blue Kurti
57768,Women,Personal Care,Skin,Mask and Peel,White,Spring,2017.0,,Lotus Herbals Tea Tree Clarifying Face Pack
49494,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Vans Men Navy Blue Shoes
50324,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012.0,Ethnic,Aurelia Women Peach Kurta
25145,Women,Accessories,Bags,Handbags,Beige,Winter,2015.0,Casual,Lino Perros Women Beige Handbag
51692,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Louis Philippe Men Oversized Sunglasses LP226-C1
7730,Men,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,Puma Men Apex Black Olive Sandal
53131,Women,Footwear,Shoes,Heels,Gold,Winter,2015.0,Casual,Catwalk Women Gold Toned & Brown Flats
53303,Men,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Locomotive Men Red T-shirt
55490,Women,Personal Care,Lips,Lip Gloss,Rose,Spring,2017.0,Casual,Revlon Rose Gold Colorburst Lip Gloss 026
4327,Unisex,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Kid's Unisex Cute Mom Turqoise Kidswear
18296,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,Aneri Women Ekta Pink Kurta
21770,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,Fossil Men Kyle Black Belt
35142,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Allen Solly Woman Black Clutch
39549,Women,Accessories,Bags,Handbags,Green,Summer,2012.0,Casual,Hidekraft Women Green Handbag
11111,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Indigo Nation Men Check White Shirts
58926,Women,Accessories,Bags,Handbags,Multi,Summer,2012.0,Casual,Ivory Tag Multi Coloured Vintage Patched Handbag
48343,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Pitaraa Golden Fish Scale Necklace
9064,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
27028,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Jealous 21 Women Blue Capris
7593,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men Zoom Vapor 8 White Red Shoe
46016,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Fabindia Women White Printed Kurta
8977,Women,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Puma Women Saba Ballet DC3 Black Casual Shoes
26597,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Men Faas 300 Black Sports Shoes
48523,Women,Apparel,Dress,Jumpsuit,Magenta,Winter,2011.0,Casual,French Connection Women Magenta Playsuit
52871,Women,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,F5 Women Pack of 3 Deos
22554,Unisex,Personal Care,Fragrance,Deodorant,Silver,Spring,2017.0,Casual,Reebok Unisex Reekick Deo
4775,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2011.0,Sports,ADIDAS Women 3S Black Track Pants
54520,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,F Sports Men White Vito Shoes
3306,Men,Footwear,Shoes,Sports Shoes,White,Spring,2011.0,Sports,Asics Men's Gel Phoenix 3 Running White Black Shoe
42213,Women,Apparel,Topwear,Tops,Orange,Summer,2012.0,Casual,Sepia Women Orange Top
39781,Men,Apparel,Topwear,Shirts,White,Summer,2012.0,Formal,Peter England Men Striped White Formal Shirt
38237,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Polaroid Unisex Sunglasses
6821,Men,Footwear,Sandal,Sandals,Brown,Summer,2011.0,Casual,Timberland Men City Brown Floater
53822,Women,Apparel,Topwear,Tunics,Black,Fall,2012.0,Casual,Ayaanay_Women_New_2013_Tunics_Size_Chart.jpg
11294,Men,Apparel,Bottomwear,Jeans,Blue,Spring,2013.0,Casual,Wrangler Men Blue Floyd Jeans
35465,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2012.0,Casual,Franco Leone Men Blue Shoes
47045,Women,Apparel,Bottomwear,Salwar,Green,Summer,2012.0,Ethnic,Shree Women Green & Purple Jodhpuri Salwar
5721,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Basics Men Blue & White Striped Polo T-shirt
33766,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,ADIDAS Neo Men Court Evo Blue Shoes
25603,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Black Casual Watch
22846,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Woodland Men Khaki Casual Shoes
3889,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Wrangler Men's Racing Big Print Red T-shirt
13366,Women,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Timberland Women Femmes Brown Casual Shoes
26075,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,John Miller Men Striped Blue Shirt
24948,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,United Colors of Benetton Women Black T-shirt
26088,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Formal,John Miller Men Striped Purple Shirt
38380,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Peter England Men Black Belt
13995,Women,Apparel,Topwear,Jackets,Blue,Fall,2011.0,Sports,Nike Women Solid Blue Jackets
35692,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,U.S. Polo Assn. Men White Shoes
27733,Women,Accessories,Bags,Handbags,Grey,Winter,2015.0,Casual,Murcia Women Grey Handbag
55783,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2013.0,Casual,Converse Men Brown Casual Shoes
20186,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Wrangler Men Tony Check Blue Shirt
6159,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Lee Men's Slash Black T-shirt
58262,Women,Accessories,Bags,Clutches,Bronze,Summer,2012.0,Casual,Baggit Women Bronze Clutch
6991,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,s.Oliver Men's Polo Grey Collar White T-shirt
48209,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,United Colors of Benetton Men Black Sunglasses
57685,Women,Personal Care,Bath and Body,Body Lotion,Yellow,Spring,2017.0,,Lotus Herbals Almond Nourish Body Lotion with SPF 20
22074,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Vishudh Women Printed Black Kurta
12285,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,Genesis Men Solid Black Trousers
5585,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Barricade 6.0 White Grey Shoe
12017,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Mark Taylor Men Purple White Striped Shirts
23334,Women,Apparel,Topwear,Tunics,Maroon,Fall,2011.0,Ethnic,W Women Maroon Printed Tunic
46565,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Timex Expedition Men White Dial Watch T49824
22020,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Vishudh Women Printed Green Kurta
57625,Unisex,Personal Care,Skin Care,Sunscreen,Orange,Spring,2017.0,Casual,Lotus Herbals Kids Sun Block Cream
44656,Women,Apparel,Topwear,Shirts,Blue,Winter,2012.0,Casual,Lee Women Blue Shirt
58494,Women,Apparel,Dress,Dresses,Purple,Fall,2012.0,Casual,Tonga Women Purple Dress
6931,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,s.Oliver Men's Eastern State University Red T-shirt
47018,Women,Apparel,Topwear,Kurtas,Mustard,Summer,2012.0,Ethnic,Shree Women Mustard & Black Kurta
58004,Women,Apparel,Topwear,Tops,Pink,Fall,2012.0,Casual,Latin Quarters Women Pink & Black Top
14313,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,ADIDAS Men Solid Blue Jerseys
44007,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,2017.0,Casual,Police Men Gold Wings Deo
35632,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2015.0,Casual,Gliders by Liberty Men Red & Black Econew Flip-Flops
40008,Men,Accessories,Eyewear,Sunglasses,Blue,Winter,2016.0,Casual,Park Avenue Men Blue Frame Sunglasses
16016,Men,Accessories,Scarves,Scarves,White,Fall,2011.0,Casual,Turtle Check Men White Scarf
25462,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Dart 9 MSL White Sports Shoes
53416,Women,Apparel,Topwear,Kurtas,Navy Blue,Fall,2012.0,Ethnic,Alma Women Navy Blue Printed Kurta
12214,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,Basics Men Black Trousers
58035,Women,Accessories,Jewellery,Earrings,Silver,Winter,2012.0,Casual,Rreverie Women Silver Earrings
48405,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,French Connection Men Grey Printed T-shirt
53429,Women,Apparel,Topwear,Kurtas,Red,Fall,2012.0,Ethnic,Alma Women Red Printed Kurta
27590,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Scullers Men White & Blue T-shirt
4461,Men,Apparel,Topwear,Jackets,Black,Summer,2011.0,Sports,Nike Men Manu Show Time Black Jacket
9970,Men,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Sports,Nike Men As Squad Ft C Black Sweatshirts
2306,Women,Apparel,Bottomwear,Capris,Black,Fall,2010.0,Sports,Nike Women Cuffed Black Capris
29297,Women,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Wrangler Women Birdy Tee Black T-shirt
25439,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,Lee Men Fashion Brown Wallet
14970,Men,Accessories,Wallets,Wallets,Black,Fall,2011.0,Formal,Newhide Authentic Wallet
37598,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Madagascar3 Boys Blue Printed T-Shirt
23508,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,ADIDAS Unisex Black Dial Watch
13500,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Chimp Men VVVIP Grey T-shirts
57442,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Angry Birds Women Pink T-shirt
58638,Men,Accessories,Socks,Socks,Grey,Summer,2013.0,Casual,Fila Men Grey Ankle Socks
49920,Women,Apparel,Saree,Sarees,Green,Fall,2012.0,Ethnic,Fabindia Green Tie & Dye Ghicha Striped Saree
24520,Women,Apparel,Topwear,Kurtas,Orange,Fall,2011.0,Ethnic,Mother Earth Women Orange  Kurta
17154,Men,Apparel,Topwear,Jackets,Navy Blue,Winter,2016.0,Casual,U.S. Polo Assn. Men Solid Navy Blue Jacket
6399,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Lotto Men Rebel Black Grey Floater
27369,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Tantra Men Hippy Blue T-shirt
31233,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Puma Men Navy Blue and White Striped Polo neck T-shirt
